"X","logFC","AveExpr","t","P.Value","adj.P.Val","B","phrog","function.","product","annotation_method","bitscore","fident","evalue","qStart","qEnd","qLen","tStart","tEnd","tLen","annotation_source","tophit_protein","function_with_highest_bitscore_proportion","top_bitscore_proportion_not_unknown","head_and_packaging_bitscore_proportion","integration_and_excision_bitscore_proportion","tail_bitscore_proportion","moron_auxiliary_metabolic_gene_and_host_takeover_bitscore_proportion","DNA_RNA_and_nucleotide_metabolism_bitscore_proportion","connector_bitscore_proportion","transcription_regulation_bitscore_proportion","lysis_bitscore_proportion","other_bitscore_proportion","unknown_function_bitscore_proportion"
"virus_comp_62_cycle_1_22",0.0567327112908051,0.273995032955647,3.67708247152639,0.000532921819525608,0.0020499345502075,-0.444949612044503,"10740","unknown function","hypothetical protein",NA,311,0.714,5.857e-06,50,140,143,1,91,93,"foldseek","protein111047","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_62_cycle_1_23",0.0594586284286608,0.20641054004696,3.51858352532934,0.00142271208642453,0.00412802686980903,-1.24903732027912,"18243","unknown function","hypothetical protein",NA,410,1,4.592e-10,0,71,73,0,71,72,"foldseek","protein186042","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_62_cycle_1_25",0.0644051094314342,0.242716921222324,3.90229731160893,0.000392857023680457,0.00168388648610496,-0.0891869717234002,"26488","unknown function","hypothetical protein",NA,551,0.98,1.913e-13,0,103,105,0,103,104,"foldseek","protein632891","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_62_cycle_1_26",0.0631360314292832,0.356690185011993,3.90652757093173,0.000196926132285462,0.0010949989347139,0.439116278835303,"15866","unknown function","hypothetical protein",NA,642,1,1.822e-18,0,154,156,0,154,155,"foldseek","protein495781","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_62_cycle_1_29",0.0509170266248145,0.286288443163713,3.44573715692598,0.000956300942109664,0.00307922601540912,-1.01136228983638,"2834","unknown function","hypothetical protein",NA,328,0.985,1.098e-06,0,67,69,0,67,68,"foldseek","protein137657","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_62_cycle_1_33",0.05686939835073,0.289861474287952,3.64547293707243,0.000659134252143733,0.00235732460350398,-0.615865399436859,"5749","integration and excision","transposase",NA,267,0.201,2.809e-05,2,95,106,103,213,500,"foldseek","envhog_protein260772","integration and excision",1,0,1,0,0,0,0,0,0,0,0
"virus_comp_62_cycle_1_38",0.0586048015157681,0.288766408505102,4.28818359941641,4.30423758190464e-05,0.000416466948209535,1.83221539227639,"4105","unknown function","hypothetical protein",NA,524,0.915,9.921e-13,0,106,108,0,106,107,"foldseek","protein93939","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_62_cycle_1_41",0.0583314445759014,0.223558471659778,4.28304116205965,7.5180660072259e-05,0.000598898802675046,1.38437806093922,"134","unknown function","hypothetical protein",NA,258,0.872,1.431e-05,0,46,48,0,46,47,"foldseek","protein273423","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_62_cycle_1_42",0.0632428042276855,0.230667073191625,4.77166201410871,8.8645547312361e-06,0.000161597639854672,3.34400210632251,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_62_cycle_1_44",0.0627123710011695,0.329857454142856,3.45013957247599,0.00107626296900335,0.00336568955666728,-1.09322149668871,"1220","head and packaging","head protein",NA,1891,0.922,1.017e-42,0,375,377,0,375,376,"foldseek","protein324631","head and packaging",0.746,0.746,0,0.182,0,0,0,0,0,0.072,0
"virus_comp_62_cycle_1_47",0.046026916403661,0.290096631898418,3.15501160005535,0.00227443454910343,0.00580684369037344,-1.81057623296551,"4372","tail","tail length tape measure protein",NA,710,0.771,1.035e-21,0,231,234,414,645,647,"foldseek","envhog_protein975739_2","tail",1,0,0,1,0,0,0,0,0,0,0
"virus_comp_62_cycle_1_56",0.0591653474813482,0.259610594662172,3.33348364301579,0.00209709652815695,0.00547598552342386,-1.63303781789926,"3332","connector","head-tail adaptor",NA,277,0.242,1.841e-05,7,99,105,13,104,107,"foldseek","envhog_protein1854813","connector",0.98,0.02,0,0,0,0,0.98,0,0,0,0
"virus_comp_62_cycle_1_57",0.0538071678158694,0.310971273835374,3.14810996647282,0.00270651383288212,0.00664975648820629,-1.92864302849784,"31690","unknown function","hypothetical protein",NA,360,0.797,4.087e-07,0,68,70,23,91,92,"foldseek","protein575748","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_62_cycle_1_6",0.0520308677273138,0.221412253230853,3.03105922132101,0.00413329155857049,0.00895685342317584,-2.29552850779427,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_62_cycle_1_7",0.0550796371311545,0.33170754790239,4.07913251587364,8.46621081268052e-05,0.000651903092873276,1.18930259771833,"16983","unknown function","hypothetical protein",NA,333,1,5.354e-07,0,69,71,0,69,70,"foldseek","protein530062","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_6278_cycle_1_2",0.0825153917805099,0.181264026041535,5.13012304743805,3.54738855336202e-05,0.000370768498799255,2.33307497072592,"1382","unknown function","hypothetical protein",NA,213,0.854,0.0004791,0,47,49,0,47,48,"foldseek","protein293480","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_6322_cycle_1_4",0.0650438120122035,0.234787332130164,3.57124770718987,0.000649474129175706,0.00234070512710942,-0.65559874520835,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_6322_cycle_1_5",0.0642877701923379,0.233145451359131,3.92361863141803,0.000745876145669536,0.00256206489755907,-0.552115046409558,"66","integration and excision","excisionase and transcriptional regulator",NA,278,0.551,2.833e-06,0,77,84,12,89,91,"foldseek","envhog_protein523599","integration and excision",1,0,1,0,0,0,0,0,0,0,0
"virus_comp_634_cycle_1_45",0.0575258447303836,0.21222990899973,3.11422496355348,0.00273332459254833,0.0066903981416853,-1.96818010111509,"2439","transcription regulation","transcriptional regulator",NA,291,0.562,3.172e-05,0,63,68,15,78,85,"foldseek","envhog_protein257115","transcription regulation",0.693,0,0,0,0,0.307,0,0.693,0,0,0
"virus_comp_636_cycle_1_16",0.0651315140474016,0.211342612121225,4.8727016741903,5.0789019831538e-06,0.000126454954472281,3.85119510196545,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_636_cycle_1_73",0.0659647557683218,0.230610750665356,5.16888622536675,2.32956623163298e-06,7.58856199954444e-05,4.62635860537767,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_6380_cycle_1_4",0.0720654955260533,0.344326583213477,3.72655283831478,0.000298798932297314,0.00143880704195757,0.0341894627150179,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_6380_cycle_1_5",0.0809110141571441,0.400715716411282,3.24449415667744,0.0015226289490437,0.00433885104755549,-1.45228185805038,"31","tail","central tail fiber J",NA,325,0.281,4.287e-06,8,164,169,137,316,439,"foldseek","envhog_protein1409987_2","tail",0.913,0.071,0,0.913,0,0,0.016,0,0,0,0
"virus_comp_64_cycle_1_3",0.0514881495609626,0.268159194726283,3.38236945281108,0.00100284960555399,0.0031948973986231,-1.09169322775802,"3513","lysis","endolysin",NA,589,0.351,1.009e-10,19,185,187,336,491,492,"foldseek","envhog_protein187869","lysis",0.496,0,0,0.081,0,0,0,0.388,0.496,0.035,0
"virus_comp_6559_cycle_1_1",0.0754151013063953,0.189300781916607,5.37318081950299,8.43798872201306e-06,0.000159343468185261,3.60636756259518,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_6559_cycle_1_3",0.0683488040464489,0.599756645356403,3.09954647466403,0.00235403276367084,0.00593289108522845,-1.86154676882959,"199","lysis","holin",NA,500,0.455,4.384e-10,1,147,153,29,184,190,"foldseek","envhog_protein441784","lysis",1,0,0,0,0,0,0,0,1,0,0
"virus_comp_6640_cycle_1_1",0.0994919408120352,0.254338733096654,4.66801325001436,4.71235657461156e-05,0.000442802929090302,1.93228346741713,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_6645_cycle_1_1",0.0684216949801118,0.300195840243574,3.51134605484499,0.0017436983948663,0.00480280309000801,-1.39111930352059,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_67_cycle_1_24",0.0970211276212805,0.355152381348831,3.91434453546063,0.000538186817844806,0.00206252183426995,-0.312069010345417,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_69_cycle_1_23",0.0792345089905104,0.209046425349221,4.83128229968816,3.8612572765483e-05,0.00038901171891823,2.15621868203247,"130","transcription regulation","anti-repressor Ant",NA,448,0.305,3.761e-11,1,118,121,11,126,128,"foldseek","efam_protein32959","DNA, RNA and nucleotide metabolism",0.532,0,0,0,0,0.532,0,0.468,0,0,0
"virus_comp_69_cycle_1_4",0.0716663962348718,0.24928629698897,3.8501287122714,0.000584554046787194,0.00216795234240146,-0.415852053069393,"94","head and packaging","head maturation protease",NA,313,0.244,3.381e-06,2,142,161,1,144,154,"foldseek","efam_protein73947","connector",0.942,0.058,0,0,0,0,0.942,0,0,0,0
"virus_comp_6916_cycle_1_3",0.0814363077307301,0.527845822295785,4.89302595155556,5.27024262058508e-06,0.000129568417634384,3.82924011387388,"192","DNA, RNA and nucleotide metabolism","DNA polymerase exonuclease subunit",NA,209,0.174,0.0009294,10,200,209,0,159,1000,"foldseek","envhog_protein2074899_3","DNA, RNA and nucleotide metabolism",1,0,0,0,0,1,0,0,0,0,0
"virus_comp_6916_cycle_1_4",0.0856764898473335,0.418096836111659,4.82803294824267,9.23978768265524e-06,0.000166443917288015,3.33870868362357,"474","other","phosphofructokinase",NA,287,0.985,9.471e-07,0,70,72,23,93,176,"foldseek","envhog_protein417525","other",1,0,0,0,0,0,0,0,0,1,0
"virus_comp_6955_cycle_1_4",0.0978139847552894,0.339582806803199,4.26085678438715,9.30321524826854e-05,0.000681486460059344,1.21409800128384,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_699_cycle_1_14",0.0748806833252306,0.255447904910357,3.98590663647242,0.000112009931813059,0.000762799344002172,0.917477389194641,"5418","unknown function","hypothetical protein",NA,440,0.845,6.703e-09,0,83,85,0,83,84,"foldseek","protein138468","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_699_cycle_1_56",0.0658373941444181,0.307331431212874,3.18188617375861,0.0023241839157402,0.00589212965352639,-1.80651910961965,"183","tail","tail chaperone protein",NA,627,0.935,5.086e-14,0,108,111,0,108,110,"foldseek","protein6834","tail",1,0,0,1,0,0,0,0,0,0,0
"virus_comp_6999_cycle_1_2",0.0585266867789199,0.286563738519462,3.44894059634376,0.000883955496107139,0.00292581035925724,-0.944878411883339,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_708_cycle_1_10",0.0704635129294363,0.204368047217301,4.09231356908082,0.000459716791123273,0.00186028254296157,-0.110918147242971,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_708_cycle_1_5",0.0557487710859498,0.340699353900507,3.11204039805028,0.00234581417514813,0.0059236859998145,-1.85847505120848,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_708_cycle_1_7",0.0636709106406997,0.212157720820385,3.61308522518889,0.000456694429095471,0.00185125881184382,-0.375068294154222,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_713_cycle_1_2",0.0655049801594907,0.304499181167981,3.36280696899237,0.00234932949729795,0.00592485742254044,-1.69053498125078,"3377","DNA, RNA and nucleotide metabolism","HNH endonuclease",NA,837,0.638,2.603e-19,1,152,159,2,151,152,"foldseek","envhog_protein1770462","DNA, RNA and nucleotide metabolism",0.998,0,0,0,0.001,0.998,0,0,0,0.001,0
"virus_comp_720_cycle_1_33",0.0543325339932839,0.176739442607623,4.52588340668831,1.55792356495164e-05,0.000228716307677861,2.76517849722969,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_720_cycle_1_4",0.062653944910176,0.204715350898247,3.04659845578684,0.00308638044382023,0.00727363967030242,-2.10010057644482,"1129","lysis","holin",NA,316,0.551,2.725e-06,0,86,88,20,106,140,"foldseek","envhog_protein438269","lysis",1,0,0,0,0,0,0,0,1,0,0
"virus_comp_720_cycle_1_5",0.0499655113145697,0.247058045220527,4.40996024686899,1.97245483422193e-05,0.000257010864899117,2.52083238000386,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_7214_cycle_1_3",0.0691424181779288,0.305229379409196,4.03084667121248,9.6889482068975e-05,0.000694937587903896,1.05618604526779,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_722_cycle_1_2",0.0604631811574954,0.28004596113373,3.27655186749536,0.00350466893888042,0.00803504450562087,-2.00920359606354,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_722_cycle_1_40",0.057636674080368,0.275632735667329,3.53507782499687,0.00074086818935381,0.0025493430917113,-0.768391651880123,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_722_cycle_1_50",0.0516768577165046,0.238843830220081,3.78760128951841,0.000386406876210084,0.00166902152387317,-0.148243597455349,"44","DNA, RNA and nucleotide metabolism","single strand DNA binding protein",NA,814,0.558,3.55e-17,0,132,134,41,194,195,"foldseek","envhog_protein1777114","DNA, RNA and nucleotide metabolism",0.999,0,0,0,0,0.999,0,0,0,0.001,0
"virus_comp_722_cycle_1_54",0.0651695958753763,0.310014590202312,3.83488380875771,0.000290855530985146,0.00142245447351205,0.0994845532951949,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_722_cycle_1_56",0.0734811978844979,0.361622322666669,3.18880019825444,0.00374666904104733,0.00838816110048912,-2.10911087732618,"66","integration and excision","excisionase and transcriptional regulator",NA,295,0.333,1.185e-06,2,101,103,1,105,106,"foldseek","envhog_protein1167840","integration and excision",0.829,0,0.829,0,0,0.171,0,0,0,0,0
"virus_comp_722_cycle_1_58",0.0736657873485905,0.280708031117676,3.93370015325408,0.00072792421698793,0.00251788521673901,-0.528825058261132,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_722_cycle_1_61",0.0631279380164694,0.267540635077122,3.78278180212547,0.00034909123369413,0.00158489852788659,-0.0673752687736835,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_722_cycle_1_62",0.065278745783443,0.316798833194125,3.15610980245511,0.002414646658654,0.00604280012079287,-1.84680952388743,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_722_cycle_1_63",0.0721749706970745,0.253403644130539,3.70707545787276,0.00143091435682335,0.0041389070682207,-1.13645319699459,"7241","transcription regulation","transcriptional regulator",NA,273,0.5,6.156e-05,1,60,82,8,67,79,"foldseek","envhog_protein27166","transcription regulation",0.959,0,0,0,0,0.041,0,0.959,0,0,0
"virus_comp_722_cycle_1_64",0.0689669612371905,0.284117914295107,3.36475038312544,0.00272129294736789,0.00667767365427563,-1.78452378502811,"2967","transcription regulation","transcriptional regulator",NA,528,0.568,7.2e-12,3,139,140,24,161,162,"foldseek","envhog_protein577644","transcription regulation",0.868,0,0,0,0.001,0.077,0,0.868,0,0.001,0
"virus_comp_722_cycle_1_66",0.0735626067347271,0.274603227909879,3.28748855575942,0.00327527951831935,0.00761634005776938,-1.95802135645063,"729","other","cold shock protein",NA,337,0.109,5.419e-07,1,212,233,9,190,312,"foldseek","envhog_protein1131745","other",1,0,0,0,0,0,0,0,0,1,0
"virus_comp_722_cycle_1_8",0.0498268902975009,0.305714443543411,2.9553834005298,0.00424154352746374,0.00914517024206054,-2.35363207409415,"5302","tail","tail protein",NA,690,0.885,1.49e-13,49,178,180,0,129,130,"foldseek","envhog_protein180413_2","tail",0.9,0.065,0,0.9,0.024,0.002,0.008,0,0,0,0
"virus_comp_7271_cycle_1_1",0.0682882990595612,0.442109784045955,4.76263496767937,6.17362687081723e-06,0.000137117655897867,3.64729137769683,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_729_cycle_1_15",0.0868718734023217,0.19560955832714,4.81567506673411,4.60403614670486e-06,0.000120233380755318,3.90517115832951,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_729_cycle_1_41",0.0601835118837738,0.311347592733461,3.05038272802221,0.00302341661094564,0.00716274880738575,-2.06072263812257,"2","head and packaging","terminase large subunit",NA,2599,0.719,2.353e-64,1,442,461,4,448,449,"foldseek","protein420720","head and packaging",0.978,0.978,0,0,0.003,0.01,0.004,0,0,0.005,0
"virus_comp_729_cycle_1_44",0.0580055734006602,0.244180491541072,3.59461358540192,0.000420681688361333,0.00175688538440646,-0.317873392218682,"4478","other","peptidase",NA,448,0.484,3.364e-10,0,94,95,0,94,96,"foldseek","protein766572","other",1,0,0,0,0,0,0,0,0,1,0
"virus_comp_729_cycle_1_49",0.041554955521171,0.22061633683273,3.06575731108075,0.00304806105334057,0.00720802822595784,-2.06394291737757,"541","connector","head-tail adaptor",NA,261,0.139,0.0003317,0,130,133,135,255,270,"foldseek","envhog_protein777947","connector",1,0,0,0,0,0,1,0,0,0,0
"virus_comp_729_cycle_1_53",0.0723076801113777,0.299094847709581,3.62962018194535,0.000425515392605119,0.00176951028690788,-0.301483777165929,"4450","unknown function","hypothetical protein",NA,409,0.436,9.876e-09,2,111,131,1,110,114,"foldseek","protein768125","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_729_cycle_1_54",0.0599865718928859,0.285308952000903,3.47158564073744,0.000694476956077788,0.00244150634095806,-0.757475631486798,"706","unknown function","hypothetical protein",NA,614,0.401,6.911e-14,0,191,194,0,190,192,"foldseek","protein527705","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_729_cycle_1_55",0.074839144997864,0.164128804307361,5.97083406813468,1.73171099203973e-07,1.26781308013969e-05,7.1316581512439,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_729_cycle_1_57",0.065209106821114,0.328109799180342,3.47733079908652,0.000685290028032708,0.00242052145670509,-0.737729583532013,"33","tail","distal tail protein Dit",NA,1044,0.48,1.81e-21,2,232,233,26,257,261,"foldseek","envhog_protein729861","tail",0.969,0.004,0,0.969,0.001,0,0.021,0,0.004,0.001,0
"virus_comp_729_cycle_1_59",0.0556222029001341,0.286834491137981,3.0409282393492,0.00282445593997888,0.00687044074012287,-2.03648712976442,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_729_cycle_1_61",0.0738117299991202,0.21680062960858,4.17356164990441,6.06553722066776e-05,0.000526892999902006,1.49505438672975,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_73_cycle_1_10",0.060475765989972,0.411394295459392,3.43742320284375,0.000823780230440869,0.00276883656130125,-0.899669036446929,"5","connector","tail completion or Neck1 protein",NA,497,0.451,1.904e-11,0,162,163,8,168,169,"foldseek","envhog_protein1198405","connector",0.991,0.009,0,0,0,0,0.991,0,0,0,0
"virus_comp_73_cycle_1_11",0.0566532842480237,0.338055636304471,3.41854796121497,0.000890005853661287,0.00293837236652194,-0.973720496284282,"88","tail","major tail protein",NA,931,0.422,7.963e-20,0,198,208,0,200,203,"foldseek","protein151666","tail",0.938,0.03,0,0.938,0,0,0,0,0,0.032,0
"virus_comp_73_cycle_1_13",0.0634103527384306,0.253286150772623,3.92459785443282,0.000150605326596408,0.000934470193119615,0.651556759368493,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_73_cycle_1_14",0.0551267192937503,0.358078201049791,3.22282339744134,0.00168009192323752,0.00469440981267723,-1.54939467316298,"58","tail","tail length tape measure protein",NA,1116,0.311,1.812e-21,0,701,712,0,672,679,"foldseek","protein14625","tail",0.996,0.001,0,0.996,0,0,0,0,0.003,0.001,0
"virus_comp_73_cycle_1_17",0.0586268892180983,0.357632468507607,3.48849413899772,0.00070485625226358,0.00246227264530682,-0.759542369544656,"5668","tail","tail fiber protein",NA,376,0.193,2.683e-07,2,265,273,85,329,333,"foldseek","envhog_protein464858","tail",0.943,0.033,0,0.943,0,0,0,0,0,0.024,0
"virus_comp_73_cycle_1_19",0.0626542166857221,0.246034638993771,5.98054897515344,1.99974816568314e-08,3.90850778982769e-06,9.03984437321006,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_73_cycle_1_3",0.0567109971184841,0.329296108823329,3.35544048579884,0.00109854098783984,0.00341619586906327,-1.16503932812075,"12","head and packaging","portal protein",NA,1924,0.614,1.257e-44,0,396,398,3,401,402,"foldseek","envhog_protein1752622","head and packaging",0.919,0.919,0,0,0,0.001,0.08,0,0,0,0
"virus_comp_73_cycle_1_4",0.0558488663099251,0.377705376997601,3.1751851533116,0.0019317195563109,0.00517907527134384,-1.67874198204985,"80","head and packaging","head maturation protease",NA,1015,0.647,4.439e-23,2,191,195,37,222,230,"foldseek","envhog_protein784513","head and packaging",0.997,0.997,0,0.001,0.001,0.001,0,0,0,0.001,0
"virus_comp_73_cycle_1_6",0.0572710861923598,0.307844758557648,3.66403248771451,0.00038007513195111,0.00165816260133581,-0.201833953909773,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_73_cycle_1_7",0.0606268084181374,0.259150520540041,3.7823724442167,0.000251427798838679,0.00130264427932312,0.177331301493632,"2550","unknown function","hypothetical protein",NA,366,0.566,2.556e-07,0,89,90,0,88,89,"foldseek","protein799180","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_73_cycle_1_8",0.0610263667664042,0.307270996520847,3.14347866982101,0.00212588368193791,0.00553267597383175,-1.77429973216754,"25","connector","head closure Hc1",NA,382,0.176,4.958e-07,5,105,115,12,110,112,"foldseek","envhog_protein330048","connector",0.958,0.04,0,0,0,0,0.958,0,0,0.002,0
"virus_comp_73_cycle_1_9",0.063412648795831,0.346871502523152,3.8458120635285,0.000214225362415707,0.00117283885389776,0.345316448576418,"78","connector","tail terminator",NA,611,0.619,5.098e-16,4,108,109,14,118,119,"foldseek","envhog_protein1961599","connector",0.887,0.065,0,0.048,0,0,0.887,0,0,0,0
"virus_comp_732_cycle_1_7",0.0692561329193831,0.383469299544175,3.29510493324661,0.00156872385870061,0.00442753903513407,-1.44411215884549,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"virus_comp_733_cycle_1_1",0.063691016053131,0.231095257193459,4.14860626037789,9.30963851807852e-05,0.000681486460059344,1.14710028538556,"60","unknown function","hypothetical protein",NA,257,0.266,0.0003556,1,77,158,217,305,306,"foldseek","protein197863","unknown function",0,0,0,0,0,0,0,0,0,0,0
"virus_comp_733_cycle_1_12",0.0592240347808652,0.227798009456457,3.39396122107374,0.00170329409184978,0.0047355452382936,-1.44779514555532,"3","transcription regulation","transcriptional repressor",NA,358,0.619,1.942e-07,0,70,72,0,70,76,"foldseek","protein413602","transcription regulation",0.864,0,0,0,0.001,0.086,0,0.864,0,0.003,0
"virus_comp_733_cycle_1_16",0.0681182550475817,0.449425988250097,3.49941430399685,0.000666925979779883,0.00237866209394121,-0.705787038125139,"51","head and packaging","terminase small subunit",NA,463,0.526,2.39e-09,0,113,124,41,148,170,"foldseek","envhog_protein1448219","head and packaging",1,1,0,0,0,0,0,0,0,0,0
"virus_comp_733_cycle_1_18",0.0696376871470884,0.338297362277895,3.31485390787409,0.00185224954072539,0.0050220101342998,-1.55131233661299,"533","head and packaging","portal protein",NA,2535,0.818,9.257e-59,0,471,473,0,472,473,"foldseek","protein230281","head and packaging",0.769,0.769,0,0,0,0,0.231,0,0,0,0
"virus_comp_733_cycle_1_19",0.0722783365794994,0.383519623482979,3.70484260191295,0.000355932880103962,0.00159924325094987,-0.116306456836638,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
